,id,number_of_restaurants,average_review_count,average_restaurant_rating,average_price_level
0,nyu_2451_34572.1,13,169,4.0,1
1,nyu_2451_34572.2,12,771,4.0,2
2,nyu_2451_34572.3,19,532,4.1,1
3,nyu_2451_34572.4,9,297,4.4,1
4,nyu_2451_34572.5,14,319,4.0,2
5,nyu_2451_34572.6,20,665,4.2,2
6,nyu_2451_34572.7,19,511,4.1,1
7,nyu_2451_34572.8,16,308,4.3,1
8,nyu_2451_34572.9,20,184,4.1,1
9,nyu_2451_34572.10,26,221,4.1,1
10,nyu_2451_34572.11,13,861,3.7,2
11,nyu_2451_34572.12,11,211,4.3,2
12,nyu_2451_34572.13,14,1128,4.4,2
13,nyu_2451_34572.14,20,233,4.1,1
14,nyu_2451_34572.15,20,188,4.0,1
15,nyu_2451_34572.16,19,98,4.0,1
16,nyu_2451_34572.17,39,294,4.1,2
17,nyu_2451_34572.18,20,271,3.9,1
18,nyu_2451_34572.19,11,231,4.2,1
19,nyu_2451_34572.20,28,162,3.9,1
20,nyu_2451_34572.21,0,0,0.0,0
21,nyu_2451_34572.22,20,188,4.1,1
22,nyu_2451_34572.23,18,190,4.2,1
23,nyu_2451_34572.24,20,218,4.2,1
24,nyu_2451_34572.25,10,86,3.7,1
25,nyu_2451_34572.26,27,203,3.7,1
26,nyu_2451_34572.27,13,561,4.0,1
27,nyu_2451_34572.28,1,286,4.4,2
28,nyu_2451_34572.29,10,338,4.2,2
29,nyu_2451_34572.30,17,237,4.1,2
30,nyu_2451_34572.31,20,510,4.2,2
31,nyu_2451_34572.32,20,768,4.0,1
32,nyu_2451_34572.33,20,434,4.0,1
33,nyu_2451_34572.34,18,526,4.0,1
34,nyu_2451_34572.35,20,410,4.2,2
35,nyu_2451_34572.36,11,203,4.4,2
36,nyu_2451_34572.37,18,226,4.3,2
37,nyu_2451_34572.38,19,242,3.9,2
38,nyu_2451_34572.39,20,407,3.9,2
39,nyu_2451_34572.40,19,340,3.8,2
40,nyu_2451_34572.41,5,304,4.2,1
41,nyu_2451_34572.42,23,321,4.1,1
42,nyu_2451_34572.43,9,359,3.7,1
43,nyu_2451_34572.44,20,174,3.8,2
44,nyu_2451_34572.45,20,562,4.2,2
45,nyu_2451_34572.46,18,317,4.1,1
46,nyu_2451_34572.47,20,456,4.4,2
47,nyu_2451_34572.48,20,158,4.1,1
48,nyu_2451_34572.49,60,249,4.1,1
49,nyu_2451_34572.50,38,434,4.3,2
50,nyu_2451_34572.51,19,558,4.2,1
51,nyu_2451_34572.52,26,330,4.1,2
52,nyu_2451_34572.53,20,1159,4.1,2
53,nyu_2451_34572.54,20,504,4.2,2
54,nyu_2451_34572.55,20,236,4.1,2
55,nyu_2451_34572.56,20,480,4.2,2
56,nyu_2451_34572.57,17,127,4.2,2
57,nyu_2451_34572.58,20,218,4.0,2
58,nyu_2451_34572.59,15,296,4.3,2
59,nyu_2451_34572.60,20,548,4.3,2
60,nyu_2451_34572.61,20,102,3.8,1
61,nyu_2451_34572.62,20,458,4.3,2
62,nyu_2451_34572.63,20,190,4.1,2
63,nyu_2451_34572.64,20,383,4.2,1
64,nyu_2451_34572.65,20,783,4.4,2
65,nyu_2451_34572.66,20,508,4.5,2
66,nyu_2451_34572.67,20,519,4.4,2
67,nyu_2451_34572.68,17,569,4.3,1
68,nyu_2451_34572.69,20,490,4.4,2
69,nyu_2451_34572.70,20,478,4.3,2
70,nyu_2451_34572.71,20,502,4.3,2
71,nyu_2451_34572.72,20,426,4.1,1
72,nyu_2451_34572.73,18,134,3.9,1
73,nyu_2451_34572.74,9,1174,4.0,2
74,nyu_2451_34572.75,25,187,3.9,1
75,nyu_2451_34572.76,12,525,4.0,1
76,nyu_2451_34572.77,1,2394,4.2,2
77,nyu_2451_34572.78,19,1147,4.2,2
78,nyu_2451_34572.79,20,870,3.9,1
79,nyu_2451_34572.80,20,303,4.1,1
80,nyu_2451_34572.81,18,252,4.2,2
81,nyu_2451_34572.82,16,381,4.3,2
82,nyu_2451_34572.83,4,981,4.1,2
83,nyu_2451_34572.84,10,399,4.0,2
84,nyu_2451_34572.85,54,441,4.3,2
85,nyu_2451_34572.86,0,0,0.0,0
86,nyu_2451_34572.87,60,815,4.3,2
87,nyu_2451_34572.88,53,1031,4.3,2
88,nyu_2451_34572.89,20,377,4.2,1
89,nyu_2451_34572.90,20,176,4.1,1
90,nyu_2451_34572.91,20,193,4.1,1
91,nyu_2451_34572.92,3,110,4.4,2
92,nyu_2451_34572.93,18,529,3.8,2
93,nyu_2451_34572.94,20,334,3.9,2
94,nyu_2451_34572.95,15,273,4.0,2
95,nyu_2451_34572.96,20,495,4.3,2
96,nyu_2451_34572.97,20,719,4.4,2
97,nyu_2451_34572.98,20,393,4.4,2
98,nyu_2451_34572.99,33,403,4.3,2
99,nyu_2451_34572.100,26,316,4.3,2
100,nyu_2451_34572.101,20,849,4.4,2
101,nyu_2451_34572.102,20,434,4.3,1
102,nyu_2451_34572.103,20,289,4.2,2
103,nyu_2451_34572.104,20,505,4.3,2
104,nyu_2451_34572.105,20,408,4.1,2
105,nyu_2451_34572.106,20,328,4.2,2
106,nyu_2451_34572.107,20,386,4.3,2
107,nyu_2451_34572.108,20,660,4.3,2
108,nyu_2451_34572.109,40,446,4.3,2
109,nyu_2451_34572.110,20,522,4.4,2
110,nyu_2451_34572.111,14,254,4.0,2
111,nyu_2451_34572.112,60,695,4.3,2
112,nyu_2451_34572.113,20,939,4.3,2
113,nyu_2451_34572.114,20,797,4.2,2
114,nyu_2451_34572.115,20,2345,4.3,2
115,nyu_2451_34572.116,20,893,4.3,2
116,nyu_2451_34572.117,20,1006,4.3,2
117,nyu_2451_34572.118,40,1090,4.4,2
118,nyu_2451_34572.119,20,1030,4.4,2
119,nyu_2451_34572.120,20,620,4.4,2
120,nyu_2451_34572.121,20,649,4.3,2
121,nyu_2451_34572.122,20,1567,4.4,2
122,nyu_2451_34572.123,20,1022,4.4,2
123,nyu_2451_34572.124,20,1313,4.5,2
