,id,yelp_category
0,nyu_2451_34572.1,caribbean
1,nyu_2451_34572.2,delis
2,nyu_2451_34572.3,caribbean
3,nyu_2451_34572.4,N
4,nyu_2451_34572.5,burgers
5,nyu_2451_34572.6,mexican
6,nyu_2451_34572.7,mexican
7,nyu_2451_34572.8,pizza
8,nyu_2451_34572.9,chinese
9,nyu_2451_34572.10,caribbean
10,nyu_2451_34572.11,hotdogs
11,nyu_2451_34572.12,pizza
12,nyu_2451_34572.13,seafood
13,nyu_2451_34572.14,mexican
14,nyu_2451_34572.15,sandwiches
15,nyu_2451_34572.16,latin
16,nyu_2451_34572.17,mexican
17,nyu_2451_34572.18,pizza
18,nyu_2451_34572.19,chinese
19,nyu_2451_34572.20,dominican
20,nyu_2451_34572.21,pizza
21,nyu_2451_34572.22,mexican
22,nyu_2451_34572.23,latin
23,nyu_2451_34572.24,mexican
24,nyu_2451_34572.25,foodtrucks
25,nyu_2451_34572.26,pizza
26,nyu_2451_34572.27,seafood
27,nyu_2451_34572.28,bars
28,nyu_2451_34572.29,pizza
29,nyu_2451_34572.30,delis
30,nyu_2451_34572.31,chinese
31,nyu_2451_34572.32,burgers
32,nyu_2451_34572.33,pizza
33,nyu_2451_34572.34,delis
34,nyu_2451_34572.35,italian
35,nyu_2451_34572.36,pizza
36,nyu_2451_34572.37,italian
37,nyu_2451_34572.38,delis
38,nyu_2451_34572.39,bars
39,nyu_2451_34572.40,pizza
40,nyu_2451_34572.41,diners
41,nyu_2451_34572.42,caribbean
42,nyu_2451_34572.43,seafood
43,nyu_2451_34572.44,dominican
44,nyu_2451_34572.45,sandwiches
45,nyu_2451_34572.46,chinese
46,nyu_2451_34572.47,italian
47,nyu_2451_34572.48,chinese
48,nyu_2451_34572.49,mexican
49,nyu_2451_34572.50,cocktailbars
50,nyu_2451_34572.51,pizza
51,nyu_2451_34572.52,russian
52,nyu_2451_34572.53,seafood
53,nyu_2451_34572.54,kosher
54,nyu_2451_34572.55,mexican
55,nyu_2451_34572.56,burgers
56,nyu_2451_34572.57,caribbean
57,nyu_2451_34572.58,delis
58,nyu_2451_34572.59,coffee
59,nyu_2451_34572.60,newamerican
60,nyu_2451_34572.61,caribbean
61,nyu_2451_34572.62,breakfast_brunch
62,nyu_2451_34572.63,mexican
63,nyu_2451_34572.64,sandwiches
64,nyu_2451_34572.65,italian
65,nyu_2451_34572.66,italian
66,nyu_2451_34572.67,italian
67,nyu_2451_34572.68,bbq
68,nyu_2451_34572.69,sandwiches
69,nyu_2451_34572.70,italian
70,nyu_2451_34572.71,italian
71,nyu_2451_34572.72,latin
72,nyu_2451_34572.73,spanish
73,nyu_2451_34572.74,tradamerican
74,nyu_2451_34572.75,caribbean
75,nyu_2451_34572.76,caribbean
76,nyu_2451_34572.77,chinese
77,nyu_2451_34572.78,pizza
78,nyu_2451_34572.79,pizza
79,nyu_2451_34572.80,chinese
80,nyu_2451_34572.81,kosher
81,nyu_2451_34572.82,delis
82,nyu_2451_34572.83,tradamerican
83,nyu_2451_34572.84,chinese
84,nyu_2451_34572.85,italian
85,nyu_2451_34572.86,N
86,nyu_2451_34572.87,cocktailbars
87,nyu_2451_34572.88,breakfast_brunch
88,nyu_2451_34572.89,caribbean
89,nyu_2451_34572.90,sandwiches
90,nyu_2451_34572.91,chinese
91,nyu_2451_34572.92,N
92,nyu_2451_34572.93,pizza
93,nyu_2451_34572.94,caribbean
94,nyu_2451_34572.95,italian
95,nyu_2451_34572.96,cocktailbars
96,nyu_2451_34572.97,newamerican
97,nyu_2451_34572.98,cocktailbars
98,nyu_2451_34572.99,kosher
99,nyu_2451_34572.100,pizza
100,nyu_2451_34572.101,chinese
101,nyu_2451_34572.102,coffee
102,nyu_2451_34572.103,mexican
103,nyu_2451_34572.104,mexican
104,nyu_2451_34572.105,sandwiches
105,nyu_2451_34572.106,caribbean
106,nyu_2451_34572.107,mexican
107,nyu_2451_34572.108,italian
108,nyu_2451_34572.109,breakfast_brunch
109,nyu_2451_34572.110,italian
110,nyu_2451_34572.111,breakfast_brunch
111,nyu_2451_34572.112,cocktailbars
112,nyu_2451_34572.113,newamerican
113,nyu_2451_34572.114,newamerican
114,nyu_2451_34572.115,newamerican
115,nyu_2451_34572.116,breakfast_brunch
116,nyu_2451_34572.117,breakfast_brunch
117,nyu_2451_34572.118,italian
118,nyu_2451_34572.119,breakfast_brunch
119,nyu_2451_34572.120,pizza
120,nyu_2451_34572.121,newamerican
121,nyu_2451_34572.122,breakfast_brunch
122,nyu_2451_34572.123,italian
123,nyu_2451_34572.124,cocktailbars
124,nyu_2451_34572.125,italian
125,nyu_2451_34572.126,delis
126,nyu_2451_34572.127,breakfast_brunch
127,nyu_2451_34572.128,breakfast_brunch
128,nyu_2451_34572.129,newamerican
129,nyu_2451_34572.130,mediterranean
130,nyu_2451_34572.131,breakfast_brunch
131,nyu_2451_34572.132,colombian
132,nyu_2451_34572.133,thai
133,nyu_2451_34572.134,hotdogs
134,nyu_2451_34572.135,mexican
135,nyu_2451_34572.136,breakfast_brunch
136,nyu_2451_34572.137,italian
137,nyu_2451_34572.138,indpak
138,nyu_2451_34572.139,chinese
139,nyu_2451_34572.140,chinese
140,nyu_2451_34572.141,breakfast_brunch
141,nyu_2451_34572.142,tradamerican
142,nyu_2451_34572.143,delis
143,nyu_2451_34572.144,delis
144,nyu_2451_34572.145,delis
145,nyu_2451_34572.146,kosher
146,nyu_2451_34572.147,mexican
