,index,lodging,restaurant,school,health,bar,church,bank,store,clothing,tourist attraction,department store,office,electronics store,park,supermarket
0,nyu_2451_34572.0,9,55,26,13,10,60,12,36,19,0,2,7,11,5,15
1,nyu_2451_34572.1,5,39,26,7,4,25,15,37,34,0,3,7,6,8,11
2,nyu_2451_34572.2,3,33,16,3,11,23,4,36,13,1,2,4,3,3,8
3,nyu_2451_34572.3,2,54,27,7,14,5,24,19,4,4,0,1,1,19,4
4,nyu_2451_34572.4,3,20,25,9,16,12,23,19,5,2,0,6,2,19,6
5,nyu_2451_34572.5,3,60,54,9,22,21,32,60,14,2,4,9,9,26,14
6,nyu_2451_34572.6,5,60,52,10,25,27,36,60,20,3,5,15,13,28,20
7,nyu_2451_34572.7,3,51,14,9,24,24,18,38,16,0,3,9,13,5,5
8,nyu_2451_34572.8,1,60,37,10,7,34,20,58,24,1,0,8,9,15,28
9,nyu_2451_34572.9,8,60,35,10,5,60,12,60,25,0,4,5,16,7,18
10,nyu_2451_34572.10,2,51,20,9,0,33,18,40,40,1,4,8,9,7,8
11,nyu_2451_34572.11,3,60,33,12,9,28,30,60,17,0,2,13,7,8,12
12,nyu_2451_34572.12,0,26,2,1,5,3,3,12,0,1,0,1,0,6,1
13,nyu_2451_34572.13,6,60,51,12,10,45,33,56,39,4,8,14,14,19,20
14,nyu_2451_34572.14,9,60,60,33,18,60,26,60,50,0,7,0,18,24,39
15,nyu_2451_34572.15,6,60,60,17,16,60,11,60,34,2,6,18,17,26,29
16,nyu_2451_34572.16,12,60,60,12,33,60,37,60,60,1,10,20,20,17,37
17,nyu_2451_34572.17,11,40,60,10,9,60,5,56,26,8,3,12,8,20,18
18,nyu_2451_34572.18,9,60,54,7,0,60,18,60,28,5,5,10,16,18,25
19,nyu_2451_34572.19,10,60,60,7,23,60,23,60,38,6,5,16,15,26,29
20,nyu_2451_34572.20,6,60,20,19,7,60,23,60,39,2,10,18,17,25,0
21,nyu_2451_34572.21,9,60,60,15,13,44,23,60,35,1,3,14,11,14,13
22,nyu_2451_34572.22,4,58,36,6,7,20,6,51,12,1,1,4,4,10,6
23,nyu_2451_34572.23,0,60,60,16,6,20,17,60,24,0,3,10,12,16,19
24,nyu_2451_34572.24,1,20,14,3,2,17,5,28,0,0,0,8,1,10,8
25,nyu_2451_34572.25,7,60,60,28,9,60,17,60,33,1,8,15,16,22,36
