,neighborhood,population
0,Wakefield,21242.0
1,Co-op City,43752.0
2,Eastchester,11506.0
3,Fieldston,9287.0
4,Riverdale,9287.0
5,Kingsbridge,15080.0
6,Marble Hill,23373.0
7,Woodlawn,21242.0
8,Norwood,40494.0
9,Williamsbridge,30660.0
10,Baychester,11506.0
11,Pelham Parkway,30073.0
12,City Island,8861.0
13,Bedford Park,32649.0
14,University Heights,27094.0
15,Morris Heights,27094.0
16,Fordham,50028.0
17,East Tremont,43423.0
18,West Farms,17506.0
19,High  Bridge,37727.0
20,Melrose,38540.0
21,Mott Haven,67827.0
22,Port Morris,4193.0
23,Longwood,26196.0
24,Hunts Point,27204.0
25,Morrisania,18932.0
26,Soundview,35784.0
27,Clason Point,5988.0
28,Throgs Neck,14722.0
29,Country Club,8861.0
30,Parkchester,29821.0
31,Westchester Square,9750.0
32,Van Nest,9750.0
33,Morris Park,9750.0
34,Belmont,27378.0
35,Spuyten Duyvil,15080.0
36,North Riverdale,9287.0
37,Pelham Bay,8861.0
38,Schuylerville,14722.0
39,Edgewater Park,14722.0
40,Castle Hill,22454.0
41,Olinville,30660.0
42,Pelham Gardens,21242.0
43,Concourse,70424.0
44,Unionport,27248.0
45,Edenwald,11506.0
46,Bay Ridge,79371.0
47,Bensonhurst,151705.0
48,Sunset Park,126381.0
49,Greenpoint,34719.0
50,Gravesend,29436.0
51,Brighton Beach,35547.0
52,Sheepshead Bay,21506.0
53,Manhattan Terrace,45000.0
54,Flatbush,105804.0
55,Crown Heights,142839.0
56,East Flatbush,42483.0
57,Kensington,18446.0
58,Windsor Terrace,20988.0
59,Prospect Heights,19849.0
60,Brownsville,58300.0
61,Williamsburg,32926.0
62,Bushwick,129239.0
63,Bedford Stuyvesant,42483.0
64,Brooklyn Heights,11444.0
65,Cobble Hill,11444.0
66,Carroll Gardens,19176.0
67,Red Hook,19176.0
68,Gowanus,33824.0
69,Fort Greene,26079.0
70,Park Slope,33824.0
71,Cypress Hills,24612.0
72,East New York,91958.0
73,Starrett City,13354.0
74,Canarsie,83693.0
75,Flatlands,64762.0
76,Mill Island,13000.0
77,Manhattan Beach,21506.0
78,Coney Island,15982.0
79,Bath Beach,29931.0
80,Borough Park,106357.0
81,Dyker Heights,42419.0
82,Gerritsen Beach,21506.0
83,Marine Park,11308.0
84,Clinton Hill,34791.0
85,Sea Gate,15982.0
86,Downtown,8624.0
87,Boerum Hill,8624.0
88,Prospect Lefferts Gardens,21242.0
89,Ocean Hill,31935.0
90,City Line,24612.0
91,Bergen Beach,11308.0
92,Midwood,52835.0
93,Prospect Park South,2500.0
