,id,cluster_hood,cluster_lat,cluster_long,average_costs
0,nyu_2451_34572.1,Wakefield,40.89470517661,-73.84720052054902,1625
1,nyu_2451_34572.2,Co-op City,40.87429419303012,-73.82993910812398,1900
2,nyu_2451_34572.3,Eastchester,40.887555677350775,-73.82780644716412,1625
3,nyu_2451_34572.4,Fieldston,40.89543742690383,-73.90564259591682,1942
4,nyu_2451_34572.5,Riverdale,40.890834493891305,-73.9125854610857,1942
5,nyu_2451_34572.6,Kingsbridge,40.88168737120521,-73.90281798724604,1799
6,nyu_2451_34572.7,Marble Hill,40.87655077879964,-73.91065965862981,1799
7,nyu_2451_34572.8,Woodlawn,40.89827261213805,-73.86731496814176,1625
8,nyu_2451_34572.9,Norwood,40.87722415599446,-73.8793907395681,1625
9,nyu_2451_34572.10,Williamsbridge,40.88103887819211,-73.85744642974207,1900
10,nyu_2451_34572.11,Baychester,40.866858107252696,-73.83579759808117,1717
11,nyu_2451_34572.12,Pelham Parkway,40.85741349808865,-73.85475564017999,1717
12,nyu_2451_34572.13,City Island,40.84724670491813,-73.78648845267413,1975
13,nyu_2451_34572.14,Bedford Park,40.870185164975325,-73.8855121841913,1679
14,nyu_2451_34572.15,University Heights,40.85572707719664,-73.9104159619131,1648
15,nyu_2451_34572.16,Morris Heights,40.84789792606271,-73.91967159119565,1675
16,nyu_2451_34572.17,Fordham,40.86099679638654,-73.89642655981623,1648
17,nyu_2451_34572.18,East Tremont,40.84269615786053,-73.88735617532338,1800
18,nyu_2451_34572.19,West Farms,40.83947505672653,-73.87774474910545,1600
19,nyu_2451_34572.20,High  Bridge,40.836623010706056,-73.9261020935813,1742
20,nyu_2451_34572.21,Melrose,40.819754370594936,-73.90942160757436,1848
21,nyu_2451_34572.22,Mott Haven,40.80623874935177,-73.91609987487575,2232
22,nyu_2451_34572.23,Port Morris,40.801663627756206,-73.91322139386135,2232
23,nyu_2451_34572.24,Longwood,40.81509904545822,-73.8957882009446,1377
24,nyu_2451_34572.25,Hunts Point,40.80972987938709,-73.88331505955291,1425
25,nyu_2451_34572.26,Morrisania,40.82359198585534,-73.90150648943059,1848
26,nyu_2451_34572.27,Soundview,40.821012197914015,-73.86574609554924,1833
27,nyu_2451_34572.28,Clason Point,40.80655112003589,-73.85414416189266,1608
28,nyu_2451_34572.29,Throgs Neck,40.81510925804005,-73.81635002158441,2326
29,nyu_2451_34572.30,Country Club,40.844245936947374,-73.8240992675385,2326
30,nyu_2451_34572.31,Parkchester,40.837937822267286,-73.85600310535783,1996
31,nyu_2451_34572.32,Westchester Square,40.8406194964327,-73.84219407604444,1996
32,nyu_2451_34572.33,Van Nest,40.84360847124718,-73.8662991807561,2038
33,nyu_2451_34572.34,Morris Park,40.847549063536334,-73.85040178030421,1717
34,nyu_2451_34572.35,Belmont,40.85727710073895,-73.88845196134804,1800
35,nyu_2451_34572.36,Spuyten Duyvil,40.88139497727086,-73.91719048210393,1799
36,nyu_2451_34572.37,North Riverdale,40.90854282950666,-73.90453054908927,1942
37,nyu_2451_34572.38,Pelham Bay,40.85064140940335,-73.8320737824047,1717
38,nyu_2451_34572.39,Schuylerville,40.82657951686922,-73.82620275994073,2326
39,nyu_2451_34572.40,Edgewater Park,40.82198611816349,-73.81388514428619,2326
40,nyu_2451_34572.41,Castle Hill,40.81901437698832,-73.84802729582735,1608
41,nyu_2451_34572.42,Olinville,40.87137078192371,-73.86332361652777,1900
42,nyu_2451_34572.43,Pelham Gardens,40.86296562477998,-73.84161194831223,1717
43,nyu_2451_34572.44,Concourse,40.83428380733851,-73.91558941773444,2215
44,nyu_2451_34572.45,Unionport,40.82977429787161,-73.85053524451935,1608
