neighborhood,average price,type,,,,,,,,
Upper West Side,"$1,975",studio,,,,,,,,
Bedford-Stuyvesant,"$1,650",studio,,,,,,,,
Bushwick,"$1,731",studio,,,,,,,,
Upper East Side,"$1,898",studio,,,,,,,,
Williamsburg,"$2,491",studio,,,,,,,,
Astoria,"$1,575",studio,,,,,,,,
Hell's Kitchen,"$2,012",studio,,,,,,,,
Crown Heights,"$1,759",studio,,,,,,,,
Midtown East,"$2,100",studio,,,,,,,,
Chelsea,"$2,323",studio,,,,,,,,
Flatbush,"$1,618",studio,,,,,,,,
Financial District,"$2,195",studio,,,,,,,,
Long Island City,"$1,971",studio,,,,,,,,
Flushing,"$1,600",studio,,,,,,,,
West Harlem,"$1,937",studio,,,,,,,,
Central Harlem,"$1,713",studio,,,,,,,,
East Village,"$1,850",studio,,,,,,,,
Murray Hill,"$2,400",studio,,,,,,,,
Ridgewood,"$1,811",studio,,,,,,,,
East Harlem,"$1,600",studio,,,,,,,,
Park Slope,"$2,100",studio,,,,,,,,
West Village,"$2,300",studio,,,,,,,,
Washington Heights,"$1,650",studio,,,,,,,,
Downtown Brooklyn,"$2,310",studio,,,,,,,,
Rego Park,"$1,673",studio,,,,,,,,
Kips Bay,"$2,150",studio,,,,,,,,
Theater District,"$2,423",studio,,,,,,,,
Greenpoint,"$2,350",studio,,,,,,,,
NoMad,"$2,970",studio,,,,,,,,
Bay Ridge,"$2,038",studio,,,,,,,,
East New York,"$1,575",studio,,,,,,,,
Elmhurst,"$1,563",studio,,,,,,,,
Bowery,"$2,500",studio,,,,,,,,
Clinton Hill,"$1,900",studio,,,,,,,,
Tribeca,"$2,538",studio,,,,,,,,
Forest Hills,"$1,575",studio,,,,,,,,
East Flatbush,"$2,700",studio,,,,,,,,
Gramercy Park,"$2,400",studio,,,,,,,,
Lower East Side,"$2,275",studio,,,,,,,,
Ocean Hill,"$1,700",studio,,,,,,,,
Jackson Heights,"$1,575",studio,,,,,,,,
Prospect Heights,"$1,916",studio,,,,,,,,
Woodside,"$1,550",studio,,,,,,,,
Greenwich Village,"$2,300",studio,,,,,,,,
Sheepshead Bay,"$1,570",studio,,,,,,,,
Bayside,"$1,850",studio,,,,,,,,
Flatiron District,"$4,098",studio,,,,,,,,
Sunset Park,"$5,900",studio,,,,,,,,
Carroll Gardens,"$2,175",studio,,,,,,,,
Soho,"$2,400",studio,,,,,,,,
Maspeth,"$2,000",studio,,,,,,,,
Battery Park City,"$2,200",studio,,,,,,,,
Corona,"$1,500",studio,,,,,,,,
Far Rockaway,"$1,823",studio,,,,,,,,
Greenwood Heights,"$2,100",studio,,,,,,,,
Boerum Hill,"$2,446",studio,,,,,,,,
Jamaica,"$1,600",studio,,,,,,,,
Gravesend,"$5,800",studio,,,,,,,,
