id,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
nyu_2451_34572.0,church,restaurant,store,school,clothing
nyu_2451_34572.1,restaurant,store,clothing,school,church
nyu_2451_34572.2,store,restaurant,church,school,clothing
nyu_2451_34572.3,restaurant,school,bank,park,store
nyu_2451_34572.4,school,bank,restaurant,store,park
nyu_2451_34572.5,store,restaurant,school,bank,park
nyu_2451_34572.6,restaurant,store,school,bank,park
nyu_2451_34572.7,restaurant,store,bar,church,bank
nyu_2451_34572.8,restaurant,store,school,church,supermarket
nyu_2451_34572.9,restaurant,church,store,school,clothing
nyu_2451_34572.10,restaurant,store,clothing,church,school
nyu_2451_34572.11,restaurant,store,school,bank,church
nyu_2451_34572.12,restaurant,store,seafood,tradamerican,park
nyu_2451_34572.13,restaurant,store,school,church,clothing
nyu_2451_34572.14,restaurant,school,church,store,clothing
nyu_2451_34572.15,restaurant,school,church,store,clothing
nyu_2451_34572.16,school,church,store,clothing,restaurant
nyu_2451_34572.17,school,church,store,restaurant,clothing
nyu_2451_34572.18,restaurant,church,store,school,clothing
nyu_2451_34572.19,school,restaurant,church,store,clothing
nyu_2451_34572.20,church,store,restaurant,clothing,park
nyu_2451_34572.21,school,store,restaurant,church,clothing
nyu_2451_34572.22,restaurant,store,school,church,mexican
nyu_2451_34572.23,store,school,restaurant,clothing,church
nyu_2451_34572.24,store,restaurant,church,school,park
nyu_2451_34572.25,restaurant,school,church,store,supermarket
nyu_2451_34572.26,restaurant,store,school,church,clothing
nyu_2451_34572.27,store,church,restaurant,park,school
nyu_2451_34572.28,restaurant,store,bar,church,park
nyu_2451_34572.29,restaurant,store,church,school,bank
nyu_2451_34572.30,church,store,restaurant,school,clothing
nyu_2451_34572.31,restaurant,store,school,bank,clothing
nyu_2451_34572.32,restaurant,store,church,school,bank
nyu_2451_34572.33,restaurant,church,store,school,bank
nyu_2451_34572.34,school,church,store,clothing,bank
nyu_2451_34572.35,restaurant,store,school,bank,park
nyu_2451_34572.36,restaurant,store,school,church,park
nyu_2451_34572.37,restaurant,store,bank,church,school
nyu_2451_34572.38,restaurant,store,school,bar,church
nyu_2451_34572.39,restaurant,store,bar,school,pizza
nyu_2451_34572.40,school,store,restaurant,church,clothing
nyu_2451_34572.41,church,store,restaurant,school,clothing
nyu_2451_34572.42,restaurant,clothing,church,store,bank
nyu_2451_34572.43,school,church,store,restaurant,clothing
