id,borough,neighborhood
nyu_2451_34572.1,Bronx,Wakefield
nyu_2451_34572.2,Bronx,Co-op City
nyu_2451_34572.3,Bronx,Eastchester
nyu_2451_34572.4,Bronx,Fieldston
nyu_2451_34572.5,Bronx,Riverdale
nyu_2451_34572.6,Bronx,Kingsbridge
nyu_2451_34572.7,Manhattan,Marble Hill
nyu_2451_34572.8,Bronx,Woodlawn
nyu_2451_34572.9,Bronx,Norwood
nyu_2451_34572.10,Bronx,Williamsbridge
nyu_2451_34572.11,Bronx,Baychester
nyu_2451_34572.12,Bronx,Pelham Parkway
nyu_2451_34572.13,Bronx,City Island
nyu_2451_34572.14,Bronx,Bedford Park
nyu_2451_34572.15,Bronx,University Heights
nyu_2451_34572.16,Bronx,Morris Heights
nyu_2451_34572.17,Bronx,Fordham
nyu_2451_34572.18,Bronx,East Tremont
nyu_2451_34572.19,Bronx,West Farms
nyu_2451_34572.20,Bronx,High  Bridge
nyu_2451_34572.21,Bronx,Melrose
nyu_2451_34572.22,Bronx,Mott Haven
nyu_2451_34572.23,Bronx,Port Morris
nyu_2451_34572.24,Bronx,Longwood
nyu_2451_34572.25,Bronx,Hunts Point
nyu_2451_34572.26,Bronx,Morrisania
nyu_2451_34572.27,Bronx,Soundview
nyu_2451_34572.28,Bronx,Clason Point
nyu_2451_34572.29,Bronx,Throgs Neck
nyu_2451_34572.30,Bronx,Country Club
nyu_2451_34572.31,Bronx,Parkchester
nyu_2451_34572.32,Bronx,Westchester Square
nyu_2451_34572.33,Bronx,Van Nest
nyu_2451_34572.34,Bronx,Morris Park
nyu_2451_34572.35,Bronx,Belmont
nyu_2451_34572.36,Bronx,Spuyten Duyvil
nyu_2451_34572.37,Bronx,North Riverdale
nyu_2451_34572.38,Bronx,Pelham Bay
nyu_2451_34572.39,Bronx,Schuylerville
nyu_2451_34572.40,Bronx,Edgewater Park
nyu_2451_34572.41,Bronx,Castle Hill
nyu_2451_34572.42,Bronx,Olinville
nyu_2451_34572.43,Bronx,Pelham Gardens
nyu_2451_34572.44,Bronx,Concourse
nyu_2451_34572.45,Bronx,Unionport
nyu_2451_34572.46,Bronx,Edenwald
nyu_2451_34572.47,Brooklyn,Bay Ridge
nyu_2451_34572.48,Brooklyn,Bensonhurst
nyu_2451_34572.49,Brooklyn,Sunset Park
nyu_2451_34572.50,Brooklyn,Greenpoint
nyu_2451_34572.51,Brooklyn,Gravesend
nyu_2451_34572.52,Brooklyn,Brighton Beach
nyu_2451_34572.53,Brooklyn,Sheepshead Bay
nyu_2451_34572.54,Brooklyn,Manhattan Terrace
nyu_2451_34572.55,Brooklyn,Flatbush
nyu_2451_34572.56,Brooklyn,Crown Heights
nyu_2451_34572.57,Brooklyn,East Flatbush
nyu_2451_34572.58,Brooklyn,Kensington
nyu_2451_34572.59,Brooklyn,Windsor Terrace
nyu_2451_34572.60,Brooklyn,Prospect Heights
nyu_2451_34572.61,Brooklyn,Brownsville
nyu_2451_34572.62,Brooklyn,Williamsburg
nyu_2451_34572.63,Brooklyn,Bushwick
nyu_2451_34572.64,Brooklyn,Bedford Stuyvesant
nyu_2451_34572.65,Brooklyn,Brooklyn Heights
nyu_2451_34572.66,Brooklyn,Cobble Hill
nyu_2451_34572.67,Brooklyn,Carroll Gardens
nyu_2451_34572.68,Brooklyn,Red Hook
nyu_2451_34572.69,Brooklyn,Gowanus
nyu_2451_34572.70,Brooklyn,Fort Greene
nyu_2451_34572.71,Brooklyn,Park Slope
nyu_2451_34572.72,Brooklyn,Cypress Hills
nyu_2451_34572.73,Brooklyn,East New York
nyu_2451_34572.74,Brooklyn,Starrett City
nyu_2451_34572.75,Brooklyn,Canarsie
nyu_2451_34572.76,Brooklyn,Flatlands
nyu_2451_34572.77,Brooklyn,Mill Island
nyu_2451_34572.78,Brooklyn,Manhattan Beach
nyu_2451_34572.79,Brooklyn,Coney Island
nyu_2451_34572.80,Brooklyn,Bath Beach
nyu_2451_34572.81,Brooklyn,Borough Park
nyu_2451_34572.82,Brooklyn,Dyker Heights
nyu_2451_34572.83,Brooklyn,Gerritsen Beach
nyu_2451_34572.84,Brooklyn,Marine Park
nyu_2451_34572.85,Brooklyn,Clinton Hill
nyu_2451_34572.86,Brooklyn,Sea Gate
nyu_2451_34572.87,Brooklyn,Downtown
nyu_2451_34572.88,Brooklyn,Boerum Hill
nyu_2451_34572.89,Brooklyn,Prospect Lefferts Gardens
nyu_2451_34572.90,Brooklyn,Ocean Hill
nyu_2451_34572.91,Brooklyn,City Line
nyu_2451_34572.92,Brooklyn,Bergen Beach
nyu_2451_34572.93,Brooklyn,Midwood
nyu_2451_34572.94,Brooklyn,Prospect Park South
nyu_2451_34572.95,Brooklyn,Georgetown
nyu_2451_34572.96,Brooklyn,East Williamsburg
nyu_2451_34572.97,Brooklyn,North Side
nyu_2451_34572.98,Brooklyn,South Side
