,id,borough,neighborhood,longitude,latitude,population,number_of_restaurants,average_review_count,average_restaurant_rating,average_price_level,yelp_category
0,nyu_2451_34572.1,Bronx,Wakefield,-73.84720052054902,40.89470517661,21242.0,13,169,4.0,1,caribbean
1,nyu_2451_34572.2,Bronx,Co-op City,-73.82993910812398,40.87429419303012,43752.0,12,771,4.0,2,delis
2,nyu_2451_34572.3,Bronx,Eastchester,-73.82780644716412,40.887555677350775,11506.0,19,532,4.1,1,caribbean
3,nyu_2451_34572.4,Bronx,Fieldston,-73.90564259591682,40.89543742690383,9287.0,9,297,4.4,1,N
4,nyu_2451_34572.5,Bronx,Riverdale,-73.9125854610857,40.890834493891305,9287.0,14,319,4.0,2,burgers
5,nyu_2451_34572.6,Bronx,Kingsbridge,-73.90281798724604,40.88168737120521,15080.0,20,665,4.2,2,mexican
6,nyu_2451_34572.7,Manhattan,Marble Hill,-73.91065965862981,40.87655077879964,23373.0,19,511,4.1,1,mexican
7,nyu_2451_34572.8,Bronx,Woodlawn,-73.86731496814176,40.89827261213805,21242.0,16,308,4.3,1,pizza
8,nyu_2451_34572.9,Bronx,Norwood,-73.8793907395681,40.87722415599446,40494.0,20,184,4.1,1,chinese
9,nyu_2451_34572.10,Bronx,Williamsbridge,-73.85744642974207,40.88103887819211,30660.0,26,221,4.1,1,caribbean
10,nyu_2451_34572.11,Bronx,Baychester,-73.83579759808117,40.866858107252696,11506.0,13,861,3.7,2,hotdogs
11,nyu_2451_34572.12,Bronx,Pelham Parkway,-73.85475564017999,40.85741349808865,30073.0,11,211,4.3,2,pizza
12,nyu_2451_34572.13,Bronx,City Island,-73.78648845267413,40.84724670491813,8861.0,14,1128,4.4,2,seafood
13,nyu_2451_34572.14,Bronx,Bedford Park,-73.8855121841913,40.870185164975325,32649.0,20,233,4.1,1,mexican
14,nyu_2451_34572.15,Bronx,University Heights,-73.9104159619131,40.85572707719664,27094.0,20,188,4.0,1,sandwiches
15,nyu_2451_34572.16,Bronx,Morris Heights,-73.91967159119565,40.84789792606271,27094.0,19,98,4.0,1,latin
16,nyu_2451_34572.17,Bronx,Fordham,-73.89642655981623,40.86099679638654,50028.0,39,294,4.1,2,mexican
17,nyu_2451_34572.18,Bronx,East Tremont,-73.88735617532338,40.84269615786053,43423.0,20,271,3.9,1,pizza
18,nyu_2451_34572.19,Bronx,West Farms,-73.87774474910545,40.83947505672653,17506.0,11,231,4.2,1,chinese
19,nyu_2451_34572.20,Bronx,High  Bridge,-73.9261020935813,40.836623010706056,37727.0,28,162,3.9,1,dominican
